question,answer,label
회원가입해야 하나요?,네 해야 가능하십니다,Yes
회원가입할게요,네 가입시켜드리겠습니다,Yes
회원가입하고 결제 가능하네요?,네  회원가입해주셔야 해요,Yes
회원가입을 할 수 있나요?,네 원하는 자리에서 회원가입을 진행하시면 됩니다,Yes
회원가입을 안해도 이용할 수 있나요?,네 그러시면 비회원으로 이용하면 됩니다,Yes
회원가입을 안 해도 이용이 가능할까요?,예 비회원도 이용 가능합니다,Yes
회원가입을 안 해도 사용이 가능한가요?,예 회원가입을 안해도 사용 가능합니다,Yes
회원가입은 자리에서 하면 되죠?,네 로그인 화면에서 하시면 됩니다,Yes
회원가입 안하고도 이용할 수 있나요?,네 후불카드나 선불기계 사용하시면 돼요,Yes
회원가랑 비회원가랑 혹시 다른가요?,예 회원가랑 비회원가랑 다릅니다,Yes
회원가랑 비회원가랑 가격 차이는 있는건가요?,예 조금 차이 있습니다,Yes
회원 카드 하나 만들어 주세요,네 성함이랑 전화번호 적어 주세요,Yes
회색도 좀 보여주세요,네 여기 있습니다,Yes
회색도 가격이 똑같은가요?,네 동일합니다,Yes
회색 한가지예요?,네 한가지예요,Yes
회색 제품 라지 사이즈로 입어 봐도 될까요?,네 가져다드릴게요,Yes
회사들이 모여있는 동네인가요?,네 직장인들 상대로 가게를 여시면 사업 수완엔 문제없으실 겁니다,Yes
회사 사무실 임대하려 하는 데 있나요?,네 있습니다,Yes
회냉면은 냉면인데 회가 올려져 있는 거예요?,네,Yes
황사마스크도 하나 주세요.,네.,Yes
환불도 가능해요?,"네, 환불도 가능하세요",Yes
확장되는 걸로 한 번 볼 수 있을까요?,네 이쪽에 있는 것들이 확장 가능한 27인치 가방들이에요,Yes
확인해 보겠습니다. 그랜저 차량 확인 되는데 맞습니까?,네 맞아요,Yes
확인되신 건가요?,네 빨간색이랑 검은색 있네요,Yes
"확인되셨고, 1인실 맞으시죠?","네, 그렇게 예약했습니다",Yes
확인 안내해 드리겠습니다. 먼저 차량 번호 확인하셨습니까?,예예 이십 로에 일구삼팔,Yes
확인 감사합니다. 현재 이 차가 선생님 장애 엘피지차량으로 확인 됐는데요 어 현재 차주가 단독으로 되어 있습니까?,아뇨 공동 돼 있죠 그래 단독으로 몰 몰을라고예,Yes
확인 감사합니다. 그럼 이 차를 구매해서 새로 양수인 등록하시는데 그 양수인이 다른 두분이 함께 공동명의로 등록한다 이 말씀이신 이 말씀이신 건가요,예예,Yes
화학하고 천연이 있어요?,"네, 둘 다 따로 여러가지 있어요",Yes
"화학제품이 한 십프로는 들어간다, 그죠?","예, 어디든 천연이라고 해놔도 화학이 안 들어가고는 안 돼요",Yes
화장품 가방이예요?,네,Yes
화장지는 안에 있죠?,네 준비돼 있어요,Yes
화장을 했는데 괜찮을까요?,"네, 그럼요.",Yes
화장실좀 갔다올게요,네 금방 해드리겠습니다,Yes
화장실이나 흡연실도 따로 구비가 되어있나요?,네 화장실이랑 흡연실 따로 구비되어 있습니다,Yes
화장실이 밖에 있어요?,네 밖에 있습니다,Yes
화장실은 이쪽으로 가면 돼요?,네,Yes
화장실은 이쪽 안쪽이에요?,네,Yes
화장실에 휴지 있어요?,네 있어요,Yes
화장실에 온수는 나와요?,"네, 온수 나와요",Yes
화장실 좀 이용할 수 있어요?,"네, 화장실 사용 가능합니다",Yes
화장실 이쪽으로 가면 돼요?,네,Yes
화이트초코요?,네 흰색 초코요,Yes
화이트로 보여주세요,네 이번에 화이트도 오염 방지 처리가 되어있어서 때가 잘 안 타게 나왔어요,Yes
화이트 한번 볼 수 있나요?,네 잠시만 기다려 주세요,Yes
화원초등 오학년도 좀 있어요?,네 많아요,Yes
화요일 맞으시죠?,"네, 삼월 이십육일 화요일이에요",Yes
화로 대여해주시나요?,"네, 대여비 2만 원이에요",Yes
화려한 색깔인데 빨리 가거나 그러지는 않나요?,관리가 중요하기는 한데 그렇지는 않아요,Yes
홍시가 없는거에요?,네 오전까진 다 됐는데 점심 때 다 나가가지고요,Yes
홍시 스무디가 잘나가나봐요?,네 그래서 홍시 다시 공수해와야돼요,Yes
"홍삼은 50g짜리 하나 해놓으면 애들 두명이서 먹는데, 그런거에 비하면 가격대나 영양면에서 종합 비타민이 더 좋은 거죠?","홍삼은 몸의 면역을 위해 같이 드시면 좋으나, 홍삼보다는 몸의 구성성분이 되는 미네랄을 드셔주는게 훨씬 도움이 됩니다",Yes
홈플러스 멤버쉽 적립하세요?,"네, 적립합니다",Yes
"홈플러스 마트 안에 있으니까 적립 가능하시고, 도장 찍는 쿠폰 하나 드릴까요?","네, 쿠폰 주세요",Yes
홈페이지에 가격이 나와요?,홈페이지에 실시간 예약을 눌러보시면 방마다 가격이 나와 있어요,Yes
홀에서도 먹을 수 있나요?,네,Yes
홀에서 먹고가면 두 줄 시켜야 해요?,네,Yes
홀식사 주문했는데 포장으로 변경 가능할까요?,네 그럼요,Yes
혼잔데 여기 앉으면 돼요?,네,Yes
혼잔데,네 괜찮아요,Yes
혼자왔는데 가능해요?,네 들어오세요,Yes
혼자서 다 먹을 수 있어요?,네 괜찮아요,Yes
혼자먹으면 해장국 밖에 없죠?,네,Yes
혼자돼요?,네 가능하세요,Yes
혼자 왔는데요 여기 앉고 싶은데,네 잠시만요,Yes
혼자 왔는데요,네 들어오세요,Yes
혼자 왔는데 탕종류 먹으면 될까요?,네,Yes
혼자 왔는데 여기 앉을까요?,네,Yes
혼자 왔는데 아무 데나 앉으면 될까요?,네 편하신 데에 앉으세요,Yes
혼자 왔는데 그 단품만 먹고 갈 수 있죠?,네 그럼요,Yes
혼자 왔는데 가능한가요?,네,Yes
혼자 식사 할 수 있어요?,네,Yes
혼자 식사 되죠?,네,Yes
혼자 식사 가능해요?,네,Yes
혼자 식사 가능해요?,네,Yes
혼자 식사 가능해요?,네,Yes
혼자 식사 가능해요?,네 가능하세요,Yes
혼자 식사 가능해요?,네 가능하세요,Yes
혼자 식사 가능해요?,네 가능해요,Yes
혼자 식사 가능해요?,네 신발 신고 들어오세요,Yes
혼자 식사 가능해요?,네 앉으세요,Yes
혼자 식사 가능해요?,네 앉으세요,Yes
혼자 식사 가능해요?,네 앞쪽으로 앉으세요,Yes
혼자 식사 가능한가요?,네,Yes
혼자 식사 가능한가요?,네 편하신 자리 앉으시면 됩니다,Yes
혼자 식사 가능 한가요?,네 메뉴판 드릴게요,Yes
혼자 사용할 수 있는 객실이 있나요?,"네, 1인실 있어요",Yes
혼자 묵을 예정인데 작은 방이 있을까요?,"네, 작은 방이 있어요",Yes
혼자 묵을 만한 작은 침대방으로 안내해 주세요,"네, 작은 침대방으로 드릴게요",Yes
혼자 가능해요?,네,Yes
혼방이 폴리에스테르인가요?,혼방이 폴리랑 면하고 섞인 거예요,Yes
혼 닭은 혼자 먹는 거다 그죠?,네,Yes
혹시 흰색은 없나요?,흰색은 지금 품절이라 예약하셔야 돼요,Yes
혹시 흡연실도 따로 마련이 되어있나요?,네 흡연구역이 따로 되어 있어요,Yes
혹시 휘핑크림 추가되나요?,네 500원 추가하시면 추가돼요,Yes
혹시 후불도 가능하죠?,예 후불도 가능합니다,Yes
혹시 후드 티 있나요?,네 있어요,Yes
혹시 회원가입하면 요금이 더 싼가요?,네 회원 가입하시면 1시간 1000원에 이용 가능합니다,Yes
혹시 현금영수증 해줄 수 있어요?,네 번호 누르세요,Yes
혹시 현금 결제되나요?,네 가능합니다,Yes
혹시 해진교통이라고 대구 해진교통에 전화번호 좀 알 수 있을까요,네 휴대폰으로 전화거실 경우에는 공오삼 입력하시고 팔하나둘 이팔하나되시면 되시구요 일반 집 전화로 하시면 국번없이 그냥 번호 누르시면 전화 연결 가능하신 데 아마 저희가 주말에는 이제 회사가 다 업무를 하지 않기 때문에 통화가 안 될 수도 있습니다.,Yes
혹시 핫바도 파나요?,네 손님 뒤쪽에 있습니다,Yes
혹시 할인 쿠폰 사용 가능한가요?,네 사용 가능합니다,Yes
혹시 필요한 서류는 뭡니까?  ,여권사진두장하고요 신분증지참을 하시구요 네네 그렇게해서 방문을 하시면 됩니다.,Yes
혹시 피팅 가능할까요?,네 가능하세요,Yes
혹시 피씨에서 음식 주문도 가능한가요?,예 자리에서 음식 주문 가능합니다,Yes
혹시 피씨방 예약도 가능할까요?,아니요 피씨방 예약은 안 됩니다,Yes
혹시 프린트되나요?,네 프린트됩니다,Yes
혹시 프린트되나요?,네 흑백이랑 컬러 둘 다 가능하세요,Yes
혹시 프린트도 가능한가요?,네 프린트하려면 A 라인 자리에 앉아서 하세요,Yes
혹시 프린트도 가능한가요?,네 프린트할 거 정해지시면 누르지 말고 저 불러주세요,Yes
혹시 프린트는 불가능한가요?,네 지금 프린트기가 고장 나서요,Yes
혹시 프린트는 가능 할까요?,예 프린트 가능합니다,Yes
혹시 포켓볼 테이블도 있나요?,네 있습니다,Yes
혹시 포장도 가능한가요?,네 가능합니다,Yes
혹시 포장도 가능한가요?,네 모든 메뉴 포장 가능하세요,Yes
혹시 포장도 가능한가요?,네 포장해드리겠습니다,Yes
혹시 테이크아웃 말고 머그잔으로 바꿔주실 수 있나요?,네 그럼 머그잔으로 해드리겠습니다,Yes
혹시 타신 택시가 개인인지 법인인지 기억나시나요?,네 개인택시였어요,Yes
혹시 쿠폰 할인도 가능한가요?,네 쿠폰 할인으로 2000원 결제 도와드리겠습니다,Yes
혹시 쿠폰 있으세요?,네 쿠폰 종이 4개 찍었어요,Yes
혹시 콜라나 음료 주실 수 있나요?,네 여기 무한리필로 드시면 됩니다,Yes
혹시 콜라 같이 나오나요?,네 500ml 하나 서비스로 드립니다,Yes
혹시 컵 두개로 나눠서 담아주실 수 있나요?,네 가능하십니다,Yes
혹시 커피를 좀 연하게 타주실 수 있나요?,네 가능합니다,Yes
혹시 커피 있어요?,네 저쪽에 커피머신 있어요,Yes
혹시 커플석은 있나요?,예 커플석 있습니다,Yes
혹시 카페 쿠폰 주시나요?,네 도장 찍어드립니다,Yes
혹시 카탈로그 보여주실 수 있나요?,네 여기에 보면 이런 스타일이 손님께 잘 어울릴 거예요,Yes
혹시 카카오페이 되나요?,아 여긴 아직 되지 않네요,Yes
혹시 카카오페이 결제는 되시나요?,네 다 돼요,Yes
혹시 카드로 결제할 수 있나요?,네 카드로 결제하실 수 있어요,Yes
혹시 카드 결제로 되나요?,"네, 현금으로 하시면 10프로 할인 들어가세요",Yes
혹시 카드 결제도 가능한가요?,예 카드 결제도 가능합니다,Yes
혹시 치우는 것도 셀프인가요?,네  다 드신 빈 접시는 퇴식구에 넣어주시면 돼요,Yes
혹시 취득세 팔프로 계산해 드릴까요,예 그 계산,Yes
혹시 처음 만드시는 겁니까? ,네,Yes
혹시 처음 만드시는 겁니까?,네,Yes
혹시 차주분이 직접 오시어서 업무를 하실 수 있으신가요,네,Yes
혹시 차주분 본인되세요,아 차주는 어머니이고요 제가 보조인가 그렇게 되어 있어 가지고,Yes
혹시 차번호 여쭤봐도 되겠습니까?,이십일구예 삼이사구 삼둘사구,Yes
혹시 차류도 시원하게 되나요?,네 따뜻하게 시원하게 모두 됩니다,Yes
혹시 차량을 가지고 가실 예정이세요,예 예 예,Yes
혹시 차량번호 확인 가능하십니까,예예 네 육십일 공삼삼팔이요,Yes
혹시 차량번호 선생님알고 계십니까?,이십오예 일일칠삼 이십오예 오,Yes
혹시 차량등록소 이곡동말고는 없나요,네 서구분서는 이곡동만있습니다.,Yes
혹시 차 갖고 오면 주차할 데 따로 있나요?,따로 주차공간은 없고 유료주차장 가셔야 될 거예요,Yes
혹시 짬짜면도 있나요?,네 있습니다,Yes
혹시 직접 가서 볼 수 있나요?,네 거주자에게 전화해볼게요,Yes
혹시 지금 한정판 상품 판매 중인가요?,네 판매합니다,Yes
혹시 지금 식사 돼요?,네,Yes
혹시 지금 메뉴 변경되는가요?,네 됩니다,Yes
혹시 지금 구매하러 갈 건데 키핑 좀 해달라고 해주실 수 있나요?,명동점에 그렇게 전해 놓을게요,Yes
혹시 지금 검은색으로 염색하셨나요?,네 검은색으로 염색했었어요,Yes
혹시 지금 4자리 있어요?,3자리는 있는데 4자리는 붙어있는 자리가 없네요,Yes
혹시 중소기업청년전월세대출 가능한 매물 있나요?,네 있습니다. ,Yes
혹시 중국집 배달되나요?,네 배달됩니다,Yes
혹시 주민등록 상에 같이 나옵니까?,예 같이 돼 삽니다.,Yes
혹시 주문한 메뉴 포장되나요?,네 됩니다,Yes
혹시 죄송한데 케첩도 하나 더 주시겠어요?,네,Yes
혹시 좀 덜 진하게 할 수 있나요?,"네, 연하게 가능합니다",Yes
혹시 제일 작은 사이즈 모자 있을까요?,네 잠시만요,Yes
혹시 제로페이로 결제되나요?,네 물론입니다,Yes
혹시 전세로 5000만 원 정도 대 괜찮은 매물 있을까요?,네 같이 가서 보여 줄게요,Yes
혹시 적립 쿠폰으로 커피 계산할 수 있나요?,네 됩니다,Yes
혹시 저번에는 병원에서 처방받고 구매하셨나요?,네,Yes
혹시 저 달성군청에 거기서도 등록이 가능한가요,네 선생님 달성군청 교통과에도 차량등록제가 있고 여기에서도 등록은 가능하신 것으로 확인되세요,Yes
혹시 장애등급이 있어서 공동명의 등록하신 차량이신가요,예 예,Yes
혹시 장갑도 빌릴 수 있나요?,네 대여 가능합니다,Yes
혹시 잠 오는 성분 없는 걸로 주실 수 있을까요?,네 그럼요,Yes
혹시 잔돈 있으신가요?,네 있습니다,Yes
혹시 자리에서 음식 주문이라든지 이런 건 할 수 있나요?,예 자리에서 음식 주문 가능합니다,Yes
혹시 자리에서 음식 주문 가능한가요?,예 주문하면 가능합니다,Yes
혹시 자리 예약 가능한가요?,자리 예약은 10분 안에 오셔야 가능하세요,Yes
혹시 자동차등록사업소에 토요일날도 업무를 보나요,아예 선생님 죄송하지만 토요일에는 업무를 보지 않습니다.,Yes
혹시 있으면  돈은 거서 내면 되나요,예 해지만 다 하시고 방문해 주셔야 되거든요 왜냐하면 차량등록사업소에서는 이제 압류건이나 지방세 납부는 안 되기 때문에요 네 미리 해제하시고 방문해 주셔야 됩니다.,Yes
혹시 일반 자가용 그 자가용 맞으시죠. 이전 하시는 게 대곡동이면 선생님 제가 확인했을 때는 달서구로 대곡동 확인 되는데 맞으세요 선생님,예예,Yes
혹시 인터넷 사용 가능하세요 선생님,예 예,Yes
혹시 이천칠년 이죠?,네 맞아요,Yes
혹시 이전은 하셨나요,아니 인자 그러니까 그게 폐차 수순이라니까는 그거 뭐 쓰 아예 이전을 안 한 상태니까는 이전을 해야 되나 싶어서 그래서 물어 보는,Yes
혹시 이월 상품들은 할인이 따로 들어가 있나요?,네 그렇습니다,Yes
혹시 이불도 세탁 되나요?,네 이불 세탁 가능합니다,Yes
혹시 이분 주민번호 앞 번호알고 예십니까?,주민번호가예 잠깐만 칠육공일이삼,Yes
혹시 이런 스웨이드 들어간 운동화도 돼요?,네 스웨이드 들어간 운동화도 세탁 가능해요,Yes
혹시 이런 건 어떠세요?,음 이건 장식이 좀 마음에 안 드네요,Yes
혹시 이게 좀 급하게 신청이 그게 되는가요 긴급이나 뭐 이런 걸로,아 아니시구요 그러시면은 최대한 빠르게 발급 가능한 게 삼일 째 오후 네 시부터 발급 가능한 게 있는데 신청일 포함하고 삼일 째 오후 네시부터 발급 가능한 여권이 있습니다.,Yes
혹시 이게 근데 카드도 자동납부가 되는가예,아 네 안타깝게도 카드 자동이체는 아직 하고 있지 않습니다,Yes
혹시 이거 배달하면 배달료 따로 드려야 해요?,동네마다 다르고요 이 근처면 11000원 이상 구매하시면 배달료 없어요,Yes
혹시 이거 다 못 먹으면 포장해 주세요,네네,Yes
혹시 이 할인쿠폰 이 매장에서 적용 가능한가요?,네,Yes
혹시 이 제품 다른 색상도 있나요?,네 검정이랑 화이트 있어요,Yes
혹시 이 원피스에 어울릴만한 스카프도 있을까요?,네 악세서리 제품은 이쪽에 준비되어있습니다,Yes
혹시 이 옷 색상이 블랙이랑 레드가 전부인가요?,원래 네이비랑 퍼플색도 있었는데 다 팔려서 저희 매장에는 재고가 없어요,Yes
혹시 이 옷 다른 사이즈도 있나요?,네 총 세 가지 사이즈가 있습니다.,Yes
혹시 이 귀걸이와 세트인 목걸이는 따로 없나요?,네 고객님  그 귀걸이는 단품만 구매 가능합니다.,Yes
혹시 음식은 직접 받으러 오는 건가요?,네 저희 셀프서비스라 진동벨 울리면 받으러 오시면 돼요,Yes
혹시 음식도 주문을 할 수 있나요?,예 음식 주문도 할 수 있습니다,Yes
혹시 음식도 주문도 자리에서 가능할까요?,예 주문도 자리에서 가능합니다,Yes
혹시 음식 주문은 피씨에서 할 수 있나요?,예 음식 주문은 피씨에서 가능합니다,Yes
혹시 음식 주문도 할 수 있어요?,네 자리에서 하실 수 있습니다,Yes
혹시 음식 주문도 가능한가요?,네 음식 주문도 가능합니다,Yes
혹시 음료 변경 가능한가요?,네 가능합니다,Yes
혹시 음료 말고 다른 디저트 제공도 되나요?,네 원하시는 디저트 말씀해주세요,Yes
혹시 융자는 있나요?,아니요 서류 떼 봤는데 없다고 나오네요,Yes
혹시 유효기간이 남아 있는 여권이 있습니까? ,아 여권 처음이예요,Yes
혹시 위에만 맞출 수도 있나요?,네 가능하세요,Yes
혹시 월세나 전세로 내놓으실 생각은 없으신 건가요?,네 매매만 하려고 합니다,Yes
혹시 요 #주소#에 수거도 하러 와요?,네,Yes
혹시 외부음식은 시켜먹을 수 있나요?,네 근처 식당이 많아서 시켜드시면 되세요,Yes
혹시 와이파이는 설치되어 있나요?,예 와이파이 있습니다,Yes
혹시 와이파이는 다 있나요?,예 와이파이 있습니다,Yes
혹시 와이파이는 다 설치되어있나요?,네 와이파이 설치되어 있습니다,Yes
혹시 옷 입어볼 수 있어요?,네 피팅룸에서 착용 가능해요,Yes
혹시 온누리상품권은 되나요? 여기도 시장이라서,정확하게 잘 모르겠는데 안될 거예요 신청해야 하는가 보더라고요,Yes
혹시 오피스텔 매물 좀 볼 수 있을까요?,네 가능합니다,Yes
혹시 오버 위치도 깔려있나요?,네 물론이죠,Yes
혹시 예약은 가능 할까요?,예 예약 가능합니다,Yes
혹시 예약은 가능 한가요?,예약은 안 됩니다,Yes
혹시 예약되나요?,네 가능합니다,Yes
혹시 예약도 가능합니까?,예 예약 가능합니다,Yes
혹시 예약도 가능할까요?,아니요 예약은 안 됩니다,Yes
혹시 예약같은 거도 가능할까요?,아니요 예약은 안 됩니다,Yes
혹시 예약같은 거도 가능할까요?,예 예약도 가능합니다,Yes
혹시 영수증 하나 써 주실 수 있어요?,네 해드릴게요,Yes
혹시 염색도 같이 될까요?,네 그럼요,Yes
혹시 여기서 귀를 뚫을 수 있나요?,네네 가능하세요,Yes
혹시 여기 하프 피자 가능한가요?,예 가능합니다,Yes
혹시 여기 프린트는 되나요?,네 전 좌석 프린트 가능합니다,Yes
혹시 여기 테이크아웃 되나요?,예,Yes
혹시 여기 주차증은 안 주나요?,네 저희가 주차장이 따로 없어서요,Yes
혹시 여기 주차시설이라든지 그런 부분은 있을까요?,예 주차장이 있습니다,Yes
혹시 여기 이 귀걸이도 파는 건가요?,네 판매합니다,Yes
혹시 여기 와이파이는 설치가 되어있나요?,예 와이파이가 설치되어 있습니다,Yes
혹시 여기 와이파이는 다 있나요?,네 와이파이 사용 가능합니다,Yes
혹시 여기 와이파이는 다 설치가 되어있나요?,예 와이파이 다 설치되어 있습니다,Yes
혹시 여기 비상구는 따로 있어요?,예 비상구는 따로 있습니다,Yes
혹시 여기 배틀그라운드 다 돌아가요?,네 모든 좌석 다 돌아갑니다,Yes
혹시 여기 배틀그라운드 다 돌아가나요?,네 전 좌석 배틀그라운드 다 돌아갑니다,Yes
혹시 여기 당구장에 포켓볼도 가능한가요?,네 5번 테이블은 포켓볼 가능해요,Yes
혹시 여기 농구화도 파나요?,네 팔고 있습니다,Yes
혹시 여기 #주소# 배달되나요?,네 갑니다,Yes
혹시 여권 기존에 처음 만드시는 건가요 ,예 예 아니요 한번 있어요. 예,Yes
혹시 얼음물도 주실 수 있나요?,네 드릴게요,Yes
혹시 앱으로도 배달돼요?,네 요기요랑 배달의 민족 둘 다 됩니다,Yes
혹시 압류나 자동차세는 다 납부하셨죠,네 그런 건 없죠,Yes
혹시 압류건 조회가 가능한가요,아 네 감사합니다 지금 압류 건이 한 건이 확인되고 있고요,Yes
혹시 알러지 반응은 없나요?,네 알러지 반응은 특별하게 없습니다,Yes
혹시 안에 속 굽임 있는 것도 있나요?,네 잠시만 기다리세요,Yes
혹시 아들이 마음에 안 들어 하면 교환 가능한가요?,네 영수증 가져오시면 교환해 드립니다,Yes
혹시 쌤 지금 고지서 보시면 왼편에 관리번호 확인 가능할까요,네 일구구 삼공공 칠둘육하나,Yes
혹시 실례지만 선생님 저희가 그 남자 분 같은 경우는 이제 병역을 의무하셨는질 여쭤보고 있는데 혹시 군대다녀오셨나요,아 병역예 갔다왔습니다. 예,Yes
혹시 신어볼 수 있을까요?,네 가져다드리겠습니다,Yes
혹시 신발도 있나요?,네 있습니다 같이 보여드릴게요,Yes
혹시 시내버스 타면요 저 애기들은 몇 살 때부터 요금을 내나요,만 육세 미만부터 그 지금 하신다고 하네요 지금 만 육세,Yes
혹시 스트라이프 셔츠 스몰 사이즈는 없나요?,네 지금 매대에 나와있는 게 전부예요,Yes
혹시 스무 살 정도한테 선물하시는 거예요?,예 맞아요,Yes
